State/UTs,District,Geographical area,Very dense forest,Moderately dense forest,Open forest,Total,Percentage to Geographical Area,Change*,Scrub
Uttar Pradesh,Saharanpur,3689,0,175,200,375,10.17,2,0
Uttar Pradesh,Sant Kabir Nagar,1646,0,0,2,2,0.12,0,0
Uttar Pradesh,Sant Ravidas Nagar,1015,0,0,1,1,0.10,0,0
Uttar Pradesh,Shahjahanpur,4575,23,63,36,122,2.67,1,0
Uttar Pradesh,Siddharth Nagar,2895,0,9,30,39,1.35,0,0
Uttar Pradesh,Sitapur,5743,0,14,199,213,3.71,-2,2
Uttar Pradesh,Sonbhadra,6788,45,870,1626,2541,37.43,1,38
Uttar Pradesh,Sultanpur,4436,0,15,162,177,3.99,-1,0
Uttar Pradesh,Unnao,4558,0,26,224,250,5.48,-1,0
Uttar Pradesh,Varanasi,1528,0,1,11,12,0.79,0,0
Uttar Pradesh,Total,240928,1626,4563,8152,14341,5.95,-5,745
Uttarakhand,Almora,3139,222,928,427,1577,50.24,0,10
Uttarakhand,Bageshwar,2246,194,883,304,1381,61.49,0,4
Uttarakhand,Chamoli,8030,427,1586,682,2695,33.56,0,6
Uttarakhand,Champawai,1766,336,571,274,1181,66.87,0,8
Uttarakhand,Dehradun,3088,584,695,328,1607,52.04,0,24
Uttarakhand,Pauri Garhwal,5329,523,2094,672,3289,61.72,0,59
Uttarakhand,Haridwar,2360,26,354,238,618,26.19,-1,0
Uttarakhand,Nainital,4251,601,1919,573,3093,72.76,5,13
Uttarakhand,Pithoragarh,7090,567,1115,412,2094,29.53,0,32
Uttarakhand,Rudraprayag,1984,246,581,298,1125,56.70,0,5
Uttarakhand,Tehri Garhwal,3642,298,1232,617,2147,58.95,-2,89
Uttarakhand,Udhamsingh Nagar,2542,171,248,124,543,21.36,0,0
Uttarakhand,Uttarkashi,8016,567,1959,619,3145,39.23,0,21
Uttarakhand,Total,53483,4762,14165,5568,24495,45.80,2,271
West Bengal,Bankura,6882,214,510,332,1056,15.34,2,4
West Bengal,Bardhman,7024,44,135,82,261,3.72,3,1
West Bengal,Birbhum,4545,0,42,63,105,2.31,1,2
West Bengal,Kolkata,185,0,0,0,0,0.00,0,0
West Bengal,Coochbehar,3387,0,15,79,94,2.78,0,1
West Bengal,Dakshin Dinajpur,2219,0,2,13,15,0.68,0,0
West Bengal,Darjeeling,3149,714,663,912,2289,72.69,-1,0
West Bengal,Howrah,1467,0,53,93,146,9.95,0,0
West Bengal,Hoogli,3149,0,9,52,61,1.94,0,0
West Bengal,Jalpaiguri,6227,681,514,1311,2506,40.24,6,8
West Bengal,Malda,3733,0,113,51,164,4.39,0,0
West Bengal,Medinipur,14081,255,1169,1171,2595,18.43,5,0
West Bengal,Murshidabad,5324,0,63,44,107,2.01,0,0
